,giga_id_school,latitude,longitude,bin_internet_availability,norm_student_count,norm_Schools_within_3km,norm_pop_within_3km
42,d3c68f70-8ad0-3d14-85cb-bcfe3d1283f7,-25.3874522,25.4991433,0,0.13269384492406075,0.0,0.016853278707604925
43,8541a306-b0ec-3c5c-a4f1-0282e252d179,-21.8166259,28.7658234,0,0.29096722621902477,0.0,0.0023278009264647687
46,862263d5-9a8b-3586-8c4c-6bcd4345b6ad,-22.7277115,27.4239327,0,0.21262989608313348,0.04,0.012802905095556228
48,d1ec8070-9235-3b59-904f-b907342c0a83,-20.863318,27.2267603,0,0.13509192645883294,0.08,0.06229195279219721
49,e74637ca-99a7-3ecb-81b4-edf60c6d1ec2,-19.3876839,22.1608243,0,0.7370103916866507,0.12,0.016573942596429154
51,436860a4-1760-3d69-afa9-3f566dc45e0b,-24.4181616,26.1391837,0,0.5083932853717026,0.28,0.16599548406620265
52,f486434a-2913-3cf7-ace1-93430ad434c8,-20.5710053,27.7073987,0,0.2158273381294964,0.04,0.019390581717451522
53,bf5f6c9c-0de0-3330-b22a-ab6f49b7b2a6,-20.9540029,27.6802344,0,0.24700239808153476,0.0,0.007914523149980214
54,43f0c60a-2b99-33e5-a141-97ab65cd1166,-18.1512069,24.5012343,0,0.19024780175859313,0.04,0.013501245373495658
55,67485d34-01eb-3d4c-a04d-8eba18ecd5be,-20.6333525,27.29161,0,0.11590727418065548,0.0,0.015037593984962405
56,9f41bd2c-edb1-3b8f-9c43-62465972914d,-22.8666261,26.4824904,0,0.354916067146283,0.0,0.001932074768965758
62,f8965ccf-6d8d-3ce1-9e5b-90383c6370d4,-18.0751924,24.5852467,0,0.08713029576338929,0.0,0.01035871412276822
64,40c9aae4-032f-3389-accb-f07903681faa,-24.400511,25.5211707,0,0.4644284572342126,0.32,0.17165204031751205
65,f7a1dd72-0f91-3a5c-8f20-f59f78d0d6da,-24.418565,26.1382433,0,0.5475619504396483,0.28,0.1628529528154752
66,3635f6f9-7bd5-3b58-b49c-7b893dde793f,-22.384409,27.5622963,0,0.18625099920063948,0.04,0.030633860192276357
67,0a11a8b8-0a4e-32d2-a576-cba7d3d4902c,-23.0396266,26.4695155,0,0.4284572342126299,0.08,0.05204962871575223
