,giga_id_school,latitude,longitude,bin_internet_availability,bin_electricity_availability,norm_fiber_node_distance,norm_nearest_LTE_distance,norm_nearest_UMTS_distance,norm_nearest_GSM_distance,norm_nearest_mobile,norm_microwave_node_distance,norm_DTR_score
410,0ec669be-0f7a-3add-bcb7-d84bbf06f3be,-24.4061216,26.0775767,0,0,0.06612772837510104,0.054749052871559324,0.004830535318340197,0.0022754087308275747,0.0023594842841493215,0.7984032370344588,0.00029
412,6c38c508-8b92-3b17-8c63-36065c2a81c1,-25.6413379,25.1352782,0,0,0.2221503637833468,0.24615281456398566,0.15948685460880582,0.080903421540536,0.08098087132383923,0.8403019491820397,0.0106
413,a68d7327-04f6-3811-b68b-840ca56d3283,-25.1954091,25.1779783,0,0,0.23694421988682293,0.1684379924229725,0.11609122584732341,0.09716838024608125,0.09724445942529705,0.805560389836408,0.0064
414,b52d3945-e67a-379f-9f27-964c3e1ccde8,-19.9850805,23.4114334,0,0,0.00994341147938561,0.004995473899487042,0.0011878365536902124,0.0011798415641328167,0.0012640094379371368,0.42059693699965195,0.0008
417,ad551e07-889c-3b76-84ce-aa8e3c5f9436,-18.7219919,22.7401293,0,0,0.049636216653193205,0.5248264994803367,0.7484954070319925,0.33246249789314003,0.3325187494733293,0.6738600765750088,0.00266
418,5538d213-61af-3944-9044-cb3740c84479,-24.6310117,25.9260326,0,0,0.02255456750202102,0.0007040600797934758,0.0007127019322141273,0.0023596831282656334,0.0007584056627622819,0.8459580577793248,0.000325
421,55fc7a97-9bb1-3117-a041-f76be3599901,-19.1139429,22.2905355,0,0,0.2588520614389653,0.5125557380896504,0.2508710801393728,0.05671666947581325,0.056796157411308675,0.7231769926905673,0.00121
422,676ae93e-cd80-3162-86b5-fbea98b04ae5,-24.470647,25.7871493,0,0,0.2027485852869846,0.027357763100546488,0.03706050047513463,0.0380077532445643,0.038088817729839054,0.803602506091194,0.00201
423,dc78f0da-761a-3298-bfb2-47922caf62f3,-18.8401309,22.5761663,0,0,0.13209377526273242,0.517517685318671,0.5818815331010453,0.15093544581156246,0.1510069941855566,0.6918943612948139,0.00273
424,33e1ad64-9f24-3f9f-81a5-5825f8c1f303,-19.863915,22.3880773,0,0,0.5103476151980598,0.35836658061487914,0.46879949318973707,0.23310298331366933,0.2331676076514705,0.655499477897668,0.003
425,e8c381e8-ae4e-362e-8701-ae61db519a96,-18.8656049,22.2819403,0,0,0.12352465642683912,0.5769604720555203,0.45414950902755774,0.0022754087308275747,0.0023594842841493215,0.7490863209189002,0.0065
426,21e6c213-1f54-3a87-9376-b73b5b4ac3d0,-18.277116,21.8350698,0,0,0.06443007275666936,0.8446709357293728,0.0393569844789357,0.040114613180515755,0.04019550012640095,0.9070657848938393,0.0003
428,d70043d6-db8d-304e-bb9c-3afb703c012b,-17.9012749,25.2217253,0,0,0.09644300727566693,0.9892044121098335,0.08314855875831485,0.010281476487443115,0.01036487739108452,0.551405325443787,0.0011
430,4f79ba5c-cd7d-3736-bcb4-88693577df88,-22.4405484,26.7207562,0,0,0.04616006467259499,0.13192744828511083,0.007364586632879315,0.006320579807854374,0.0064043144855481585,0.43275757048381486,0.00586
431,6c99859d-29a7-3275-832b-852f12bac260,-21.090594,24.4782303,0,0,0.7663702506063057,0.5330740604150602,0.0725372188786823,0.010618574077195348,0.010701946574534424,0.19900800556909154,0.00044
432,f92b84c2-f232-30da-9047-25f0fa8c43ab,-22.4253698,26.7434198,0,0,0.04284559417946645,0.12619438763536395,0.004909724421919543,0.0004213719871902916,0.0005056037751748546,0.4337582666202575,0.000379
434,0eabdc30-4696-3735-8066-7c48a2c0cc68,-24.6400305,25.9192951,0,0,0.02667744543249798,0.0003687933751299158,0.0016629711751662973,0.0010955671666947582,0.001179742142074661,0.8478941872607032,0.0003
436,8f979687-548f-37e0-85bc-e8e846abe331,-24.6665793,25.90868,0,0,0.04260307194826192,0.0013745934891205955,0.0005543237250554323,0.0010112927692566998,0.0005898710710373304,0.8538983640793596,8.1e-05
438,17d4ce24-0084-3d96-980d-49da3e02fba7,-18.3172984,21.884597,0,0,0.05537590945836701,0.8218727998122507,0.05361102312321825,0.057727962245069944,0.0570489592988961,0.8923163940132266,0.002
440,fbed6e44-c034-3798-ad2d-43726a9fffd7,-25.1068466,24.8741698,0,0,0.40032336297493937,0.273208837630335,0.3337820715869496,0.22821506826226193,0.22828010449144687,0.735663940132266,0.00231
441,459364ea-254d-3b67-971a-9050f524790a,-24.6118724,25.9324523,0,0,0.029426030719482618,0.0009387467730579675,0.001979727589483687,0.0007584695769425249,0.0008426729586247576,0.8416072050121823,0.000469
442,3d9e98bc-61bd-3ea9-ae49-ed1329d0dfc8,-25.3899136,25.1353867,0,0,0.2299110751818917,0.19626512891004796,0.11260690528983212,0.11848980279791001,0.11856408527850341,0.8143273581621999,0.00047
443,bc9536fc-0adf-3b87-94ea-977b2a68739c,-21.170503,24.6023383,0,0,0.6502829426030721,0.5843363395581186,0.19599303135888502,0.03354121018034721,0.03362265104912783,0.1705751827358162,0.0009
444,0def5f94-3e47-3472-b6cc-e2d0e5177749,-20.588971,27.6498363,0,0,0.03459983831851252,0.2186609447815738,0.028824833702882482,0.006067756615540199,0.006151512597960731,0.13022102332057084,0.000623
445,a7476f96-22e7-34a7-9032-c1b356da60d3,-20.200612,23.2240313,0,0,0.2385610347615198,0.08703523653066014,0.16241685144124168,0.008090342154053598,0.00817392769866015,0.4596675948485903,0.000452
446,b4e92d32-799f-3f40-9862-a78f718ccf15,-24.6082153,25.9421459,0,0,0.02902182700080841,0.0006034800683944077,0.0007127019322141273,0.0018540367436372831,0.0007584056627622819,0.8410633484162896,0.0003
447,0de268e7-3ebc-3829-aa65-af07ea1e05d5,-25.3237654,24.4792262,0,0,0.6248181083265967,0.4070808328024944,0.36838770985112446,0.449435361537165,0.3920114603522373,0.6776670727462584,0.00101
