,giga_id_school,latitude,longitude,bin_internet_availability,norm_schools_near_conn
397,b4be5ea4-26c7-43c2-96eb-f05279d7b8b5,-2.67936,29.78678,0,0.3333333333333333
398,217c2ef4-de92-45ad-a511-269ead445618,-1.28936,30.33492,0,0.7142857142857143
399,6101ceb5-8f61-4f8b-a33b-2180999c8a59,-1.98147,30.11814,0,0.46938775510204084
400,c876a085-f40f-44df-b395-133352df7af9,-2.16608,29.50581,0,0.25
401,7613aaf2-d1e4-4113-bf2b-b5c8f22ec34c,-2.18922,29.54981,0,0.375
402,fbcbd0bc-2112-4450-849a-41f8871bfb08,-1.71078,29.84192,0,0.2
403,6179d4dd-8067-48f7-9072-88b1bb8cea20,-2.05872,30.23463,0,0.5
404,5a176501-82c2-43a3-bfeb-66dd874d4895,-1.876,29.33972,0,0.5
405,d311ae9c-28dd-48b7-a13d-1b6f999fe149,-2.03525,30.68894,0,0.0
406,e3f84b83-5da1-4cd1-95a4-cb0cacf80c86,-2.10389,30.0925,0,0.42857142857142855
407,3c06e575-15fd-4b07-907c-8a668b24d83a,-1.97542,30.06917,0,0.5921052631578947
408,bb3e6120-e33d-4f20-9017-bcb716b677d2,-2.10458,29.44536,0,0.4166666666666667
409,7a26b4ad-4cf8-4bbc-b3af-fcdde2984cb8,-1.51408,30.07272,0,0.8
410,51c5f9ef-dcb5-4bf7-8399-1b59d6e46b2c,-2.35458,30.06261,0,0.5
411,a5c267f0-b3b2-4e04-8af5-a5cca425af7a,-1.71494,29.95167,0,0.5714285714285714
412,bbb9ca35-e932-4066-9e4c-59b5eb610c03,-2.54803,29.61283,0,0.5
413,f22333e2-e01a-44b7-b8cf-2e340649d85f,-1.71667,30.08042,0,0.7142857142857143
414,1eec3e42-583a-4a26-b11f-1bf81952831b,-1.90547,30.20022,0,0.3333333333333333
415,f634611a-9886-4788-9fa1-26bbfd91da63,-1.75778,29.86758,0,0.2857142857142857
416,56b21c93-8cbb-40b5-9158-71ef22601925,-2.30231,29.94269,0,0.8888888888888888
417,2a084003-e344-4b8f-8202-84cc9ee29d03,-2.42894,29.77828,0,0.6666666666666666
418,1d10dd59-bc03-4e09-bab0-d9685cff05ed,-1.69231,29.76106,0,0.5
419,ebfed99b-9200-4c73-8828-7e7d72cb60fc,-2.25108,29.32703,0,0.5
420,fbd97c82-e2da-48e4-a16c-9336f11b26fe,-2.12575,29.93131,0,0.7777777777777778
421,a7bdc112-b495-406a-a74b-4b57ba814739,-1.84628,29.67908,0,0.5384615384615384
422,19fb61c0-246b-4185-b60b-1db52a43e44a,-1.71239,30.00908,0,0.16666666666666666
423,23f33c88-d911-4c21-9c07-17cb51f01e81,-2.67369,29.63008,0,0.5
424,1dc76ef0-ed41-4e8a-9d35-ad7b4c920488,-1.9125,30.14767,0,0.5
425,f86d27cc-e971-4a63-b1ae-0f64a5196d72,-1.67964,29.64625,0,0.4166666666666667
426,9542e21a-3adf-47e3-af6f-95d83f6b6caf,-1.46736,29.87769,0,0.0
427,2f3b9191-8693-44d8-ba48-b9f96bba14f7,-2.33247,29.90292,0,0.75
428,9d49ee1c-1d5e-4579-8468-6cc0da4058d3,-1.76344,30.14983,0,0.9
429,089848de-0ca8-4a74-98bc-491355926197,-1.43953,30.02361,0,0.6666666666666666
430,eed3a945-a9fd-4cbf-8aa0-f3e745f26536,-2.13911,29.95142,0,0.6
431,25606153-0f03-4d98-8920-d0598aefd832,-1.51553,29.942,0,0.0
432,3167b6f0-3b38-44f3-84b8-737f4f7f88ee,-1.79158,30.12494,0,0.5
433,f0c2f710-534d-4b47-b639-17ffed2510de,-2.07578,29.61817,0,0.5555555555555556
434,aa59cac1-0a4b-4f83-ba8a-c5635a5195e8,-2.71789,29.60175,0,0.8571428571428571
435,0b383d99-5322-4dae-98e5-d7acee76c084,-2.21806,29.88364,0,0.25
436,b8bcb059-5f6b-45d4-bc47-b0f47002596f,-2.20656,29.70183,0,0.5714285714285714
607,60e1af5b-2f42-4f16-b09e-fbe0999f5267,-1.93469,29.56844,0,0.3333333333333333
608,e5f1392b-a7a2-4c09-883e-7ea46ab4d656,-1.68653,29.62892,0,0.46153846153846156
614,d0796453-a926-4243-a595-3a064a3606f5,-1.77072,29.372,0,0.3333333333333333
615,3f91eaeb-2fc5-4265-9670-825ae236e5d3,-2.07858,30.64322,0,0.6666666666666666
616,dd66f200-b0f5-4019-b3f8-17dc20652b2c,-2.33872,29.48747,0,0.4
617,30edf645-1b25-4b63-b5b4-77bb42089d5a,-2.01078,29.49094,0,0.25
618,09359b80-24b9-4c8d-b593-d1370854cdfe,-1.86742,29.30214,0,0.625
619,c1e9d110-2a0e-4eb4-8757-651f2cc793fd,-1.77269,30.297,0,0.5
620,0343b875-46dd-4435-8e18-e0a04584e517,-1.75167,29.55214,0,0.5
621,67399875-80c7-452f-9ac0-75f7cdce3e12,-2.00025,29.35794,0,0.3333333333333333
